uniprot_id,group_id,representative
O95139,grp_0082,O15239
O95149,grp_0218,O95149
O95163,grp_0219,O95163
O95167,grp_0082,O15239
O95168,grp_0082,O15239
O95169,grp_0082,O15239
O95178,grp_0082,O15239
O95182,grp_0024,O00217
O95198,grp_0221,O95198
O95229,grp_0222,O95229
O95251,grp_0223,O95251
O95256,grp_0224,O95256
O95264,grp_0276,P02708
O95295,grp_0225,O95295
O95298,grp_0082,O15239
O95299,grp_0226,O95299
O95347,grp_0925,Q9NTJ3
O95402,grp_0000,A0JLT2
O95407,grp_0122,O43557
O95456,grp_1002,Q8TAA3
O95460,grp_0229,O95460
O95486,grp_0230,O95487
O95487,grp_0230,O95487
O95503,grp_0231,O95503
O95563,grp_1739,Q9Y5U8
O95602,grp_0077,O15160
O95619,grp_0232,O95619
O95628,grp_0233,O95628
O95639,grp_0867,Q6UN15
O95670,grp_1158,Q96LB4
O95696,grp_0916,Q9NRL2
O95707,grp_0234,O95707
O95721,grp_0235,O95721
O95760,grp_1263,P27930
O95777,grp_0211,O94906
O95782,grp_0851,Q6P9B9
O95825,grp_0236,O95825
O95876,grp_0237,O95876
O95922,grp_0238,O95922
O95931,grp_1188,Q99549
O95983,grp_0534,Q9UBB5
O95985,grp_0239,O95985
O95995,grp_0240,O95995
O95996,grp_0241,O95996
O95998,grp_0001,A0M8Q6
O95999,grp_0242,O95999
O96000,grp_0082,O15239
O96007,grp_0243,O96007
O96008,grp_0244,O96008
O96019,grp_0840,Q6NXR4
O96020,grp_0013,A8MW99
O96033,grp_0243,O96007
P00156,grp_0066,O14949
P00338,grp_1321,P40925
P00395,grp_0345,P10176
P00403,grp_0001,A0M8Q6
P00414,grp_0345,P10176
P00441,grp_0247,P00441
P00451,grp_1724,Q9Y547
P00488,grp_0248,P00488
P00709,grp_0249,P00709
P00734,grp_0250,P00734
P00736,grp_0251,P00736
P00740,grp_0252,P00740
P00742,grp_0252,P00740
P00748,grp_0253,P00748
P00749,grp_0374,P13726
P00750,grp_0254,P00750
P00751,grp_0374,P13726
P00846,grp_0198,O75947
P01024,grp_0255,P01024
P01031,grp_0612,Q9NPA0
P01040,grp_0257,P01040
P01100,grp_0258,P01100
P01106,grp_0121,O43524
P01112,grp_0910,Q9NR31
P01127,grp_0396,P15692
P01130,grp_0260,P01130
P01137,grp_0612,Q9NPA0
P01215,grp_0263,P01225
P01222,grp_0263,P01225
P01225,grp_0263,P01225
P01229,grp_1183,Q96T91
P01308,grp_0264,P01308
P01374,grp_0122,O43557
P01375,grp_0122,O43557
P01562,grp_1286,P32881
P01563,grp_0333,P09693
P01566,grp_1286,P32881
P01567,grp_1286,P32881
P01568,grp_1286,P32881
P01569,grp_1286,P32881
P01570,grp_1286,P32881
P01571,grp_1286,P32881
P01574,grp_1286,P32881
P01579,grp_0333,P09693
P01583,grp_1626,Q13478
P01584,grp_1626,Q13478
P01589,grp_0612,Q9NPA0
P01730,grp_0333,P09693
P01732,grp_1773,Q7Z6A9
P01834,grp_0612,Q9NPA0
P01848,grp_0612,Q9NPA0
P01850,grp_0612,Q9NPA0
P01854,grp_1263,P27930
P01857,grp_0001,A0M8Q6
P01859,grp_0612,Q9NPA0
P01860,grp_0612,Q9NPA0
P01861,grp_0001,A0M8Q6
P01871,grp_0612,Q9NPA0
P01876,grp_0612,Q9NPA0
P01877,grp_0612,Q9NPA0
P01880,grp_0612,Q9NPA0
P02008,grp_1508,P69892
P02042,grp_1508,P69892
P02100,grp_1508,P69892
P02452,grp_0269,P02452
P02458,grp_0270,P02458
P02461,grp_0271,P02461
P02462,grp_0272,P02462
P02533,grp_0372,P13647
P02549,grp_0355,P11277
P02671,grp_0273,P02671
P02675,grp_0274,P02675
P02679,grp_0275,P02679
P02708,grp_0276,P02708
P02745,grp_0122,O43557
P02746,grp_0122,O43557
P02747,grp_0122,O43557
P02748,grp_1773,Q7Z6A9
P02751,grp_0277,P02751
P03372,grp_0121,O43524
P03886,grp_0082,O15239
P03891,grp_0082,O15239
P03897,grp_0082,O15239
P03901,grp_0082,O15239
P03905,grp_0082,O15239
P03915,grp_0082,O15239
P03923,grp_0082,O15239
P03928,grp_0198,O75947
P03951,grp_0374,P13726
P03952,grp_0279,P03952
P03986,grp_0612,Q9NPA0
P04004,grp_0280,P04004
P04040,grp_0281,P04040
P04070,grp_0282,P04070
P04085,grp_0283,P04085
P04141,grp_0612,Q9NPA0
P04198,grp_0146,O60674
P04234,grp_0285,P04234
P04264,grp_0371,P13645
P04406,grp_0286,P04406
P04632,grp_0215,O94979
P04637,grp_0287,P04637
P04839,grp_0288,P04839
P04843,grp_0289,P04843
P04844,grp_0289,P04843
P04908,grp_0111,O43257
P04921,grp_0290,P04921
P05000,grp_0291,P05000
P05013,grp_1286,P32881
P05014,grp_1286,P32881
P05015,grp_1286,P32881
P05023,grp_0774,Q3MIR4
P05026,grp_0774,Q3MIR4
P05067,grp_0292,P05067
P05106,grp_0293,P05106
P05107,grp_0294,P05107
P05109,grp_0295,P05109
P05112,grp_1244,P24394
P05113,grp_0296,P05113
P05121,grp_0297,P05121
P05156,grp_0298,P05156
P05160,grp_0299,P05160
P05162,grp_0300,P05162
P05165,grp_0301,P05165
P05166,grp_0302,P05166
P05198,grp_0303,P05198
P05231,grp_0304,P05231
P05386,grp_0305,P05386
P05387,grp_0306,P05387
P05388,grp_1475,P62495
P05412,grp_0121,O43524
P05423,grp_0060,O14802
P05496,grp_0198,O75947
P05556,grp_0326,P08648
P05783,grp_0837,Q6KB66
P05787,grp_0308,P05787
P05997,grp_0375,P13942
P06400,grp_0309,P06400
P06493,grp_0146,O60674
P06576,grp_0390,P15313
P06681,grp_0311,P06681
P06702,grp_0295,P05109
P06730,grp_1551,Q04637
P06746,grp_0312,P06746
P06756,grp_0612,Q9NPA0
P06858,grp_0313,P06858
P06865,grp_0314,P06865
P06899,grp_0111,O43257
P07195,grp_1321,P40925
P07204,grp_0315,P07204
P07333,grp_0146,O60674
P07355,grp_0316,P07355
P07357,grp_0317,P07357
P07358,grp_0350,P10643
P07359,grp_0318,P07359
P07360,grp_0319,P07360
P07384,grp_0408,P17655
P07510,grp_0276,P02708
P07686,grp_0314,P06865
P07766,grp_0320,P07766
P07814,grp_0321,P07814
P07858,grp_0257,P01040
P07864,grp_1321,P40925
P07900,grp_0322,P07900
P07919,grp_0066,O14949
P07942,grp_0079,O15230
P07992,grp_0323,P07992
P07996,grp_1437,P58400
P08123,grp_0269,P02452
P08151,grp_0324,P08151
P08195,grp_0319,P07360
P08237,grp_1539,Q01813
P08238,grp_0322,P07900
P08240,grp_0910,Q9NR31
P08514,grp_1773,Q7Z6A9
P08559,grp_1234,P21953
P08572,grp_0272,P02462
P08574,grp_0066,O14949
P08579,grp_0196,O75934
P08603,grp_0325,P08603
P08621,grp_0723,Q15427
P08648,grp_0326,P08648
P08700,grp_0291,P05000
P08708,grp_1475,P62495
P08709,grp_0252,P00740
P08865,grp_1475,P62495
P08887,grp_0291,P05000
P09001,grp_0081,O15235
P09012,grp_0965,Q8N684
P09132,grp_1731,Q9Y5M8
P09234,grp_0329,P09234
P09382,grp_0300,P05162
P09603,grp_0330,P09603
P09619,grp_0331,P09619
P09622,grp_0354,P11182
P09661,grp_0196,O75934
P09669,grp_0332,P09669
P09693,grp_0612,Q9NPA0
P09871,grp_0334,P09871
P09884,grp_1267,P28340
P0C0L4,grp_0255,P01024
P0C0L5,grp_0335,P0C0L5
P0C0S5,grp_0111,O43257
P0C0S8,grp_0337,P0C0S8
P0C1Z6,grp_0338,P0C1Z6
P0C2W1,grp_0945,Q9Y375
P0C6T2,grp_0289,P04843
P0CAP2,grp_0339,P0CAP2
P0CF51,grp_0612,Q9NPA0
P0CF74,grp_0001,A0M8Q6
P0CG04,grp_0612,Q9NPA0
P0DI81,grp_0891,Q7L523
P0DI82,grp_0891,Q7L523
P0DKB6,grp_1739,Q9Y5U8
P0DN86,grp_0263,P01225
P0DOY3,grp_0612,Q9NPA0
P0DP23,grp_0340,P0DP23
P0DP24,grp_0341,P0DP24
P0DP25,grp_0342,P0DP25
P0DPB6,grp_0077,O15160
P10070,grp_0343,P10070
P10071,grp_0344,P10071
P10145,grp_1248,P25024
P10176,grp_0345,P10176
P10242,grp_1707,Q9H307
P10244,grp_0346,P10244
P10276,grp_0347,P10276
P10415,grp_1075,Q92843
P10515,grp_0348,P10515
P10600,grp_1458,P61812
P10606,grp_0349,P10606
P10643,grp_0350,P10643
P10827,grp_0740,Q15788
P10828,grp_0351,P10828
P10966,grp_0488,Q9UQD0
P11047,grp_0079,O15230
P11142,grp_0352,P11142
P11166,grp_0353,P11166
P11171,grp_0822,Q641Q2
P11177,grp_1234,P21953
P11182,grp_0354,P11182
P11215,grp_1229,P20702
P11226,grp_1258,P26715
P11230,grp_0276,P02708
P11277,grp_0355,P11277
P11441,grp_0356,P11441
P11473,grp_0740,Q15788
P11498,grp_0357,P11498
P11532,grp_0358,P11532
P11802,grp_0146,O60674
P11940,grp_0359,P11940
P12004,grp_0360,P12004
P12074,grp_0361,P12074
P12107,grp_0375,P13942
P12109,grp_0362,P12110
P12110,grp_0362,P12110
P12111,grp_0363,P12111
P12259,grp_0364,P12259
P12270,grp_0365,P12270
P12524,grp_1734,Q9Y5Q3
P12694,grp_1234,P21953
P12956,grp_0366,P12956
P13010,grp_0367,P13010
P13073,grp_0345,P10176
P13224,grp_0382,P14770
P13232,grp_0333,P09693
P13498,grp_0369,P13498
P13612,grp_0121,O43524
P13645,grp_0371,P13645
P13647,grp_0372,P13647
P13671,grp_0612,Q9NPA0
P13726,grp_0374,P13726
P13804,grp_1313,P38117
P13942,grp_0375,P13942
P13984,grp_0376,P13984
P14314,grp_0696,Q14697
P14373,grp_0377,P14373
P14406,grp_0378,P14406
P14543,grp_1039,Q8WXG9
P14598,grp_0379,P14598
P14618,grp_0380,P14618
P14635,grp_0146,O60674
P14678,grp_0211,O94906
P14770,grp_0382,P14770
P14778,grp_1263,P27930
P14784,grp_0383,P14784
P14854,grp_0345,P10176
P14867,grp_0166,O75311
P14868,grp_0384,P14868
P14927,grp_0066,O14949
P15153,grp_0910,Q9NR31
P15170,grp_0385,P15170
P15172,grp_0386,P15172
P15260,grp_0333,P09693
P15291,grp_0388,P15291
P15309,grp_0389,P15309
P15313,grp_0390,P15313
P15336,grp_0146,O60674
P15382,grp_0392,P15382
P15407,grp_0393,P15407
P15408,grp_0394,P15408
P15509,grp_0291,P05000
P15692,grp_0396,P15692
P15735,grp_0146,O60674
P15880,grp_1475,P62495
P15927,grp_0398,P15927
P15954,grp_0399,P15954
P16066,grp_0400,P16066
P16118,grp_1237,P22830
P16144,grp_0401,P16144
P16220,grp_0402,P16220
P16234,grp_0146,O60674
P16298,grp_1245,P24588
P16662,grp_0403,P16662
P16871,grp_0333,P09693
P17181,grp_0291,P05000
P17275,grp_0405,P17275
P17301,grp_1258,P26715
P17535,grp_0406,P17535
P17544,grp_0407,P17544
P17568,grp_0082,O15239
P17655,grp_0408,P17655
P17676,grp_0409,P17676
P17787,grp_0612,Q9NPA0
P17858,grp_1539,Q01813
P17861,grp_1475,P62495
P17980,grp_0025,O00231
P17987,grp_0412,P17987
P18074,grp_0413,P18074
P18077,grp_0143,O60524
P18084,grp_0039,O00444
P18124,grp_0143,O60524
P18206,grp_0416,P18206
P18505,grp_0166,O75311
P18507,grp_0166,O75311
P18510,grp_1626,Q13478
P18564,grp_0612,Q9NPA0
P18615,grp_0417,P18615
P18621,grp_0143,O60524
P18827,grp_0290,P04921
P18846,grp_0419,P18846
P18847,grp_0420,P18847
P18848,grp_0421,P18848
P18850,grp_0422,P18850
P18859,grp_0198,O75947
P18887,grp_0423,P18887
P19387,grp_0098,O15514
P19388,grp_0098,O15514
P19404,grp_0024,O00217
P19429,grp_0425,P19429
P19438,grp_0426,P19438
P19447,grp_0135,O43913
P19784,grp_0146,O60674
P19793,grp_0740,Q15788
P19838,grp_1224,P19838
P19878,grp_1225,P19878
P20042,grp_0032,O00303
P20226,grp_1246,P24864
P20231,grp_0374,P13726
P20248,grp_0146,O60674
P20290,grp_1645,Q13765
P20333,grp_0228,O95407
P20585,grp_0094,O15457
P20618,grp_0061,O14818
P20648,grp_0774,Q3MIR4
P20674,grp_1228,P20674
P20701,grp_1229,P20702
P20702,grp_1229,P20702
P20809,grp_0304,P05231
P20849,grp_0269,P02452
P20908,grp_1230,P20908
P20963,grp_1231,P20963
P21127,grp_0146,O60674
P21281,grp_0168,O75348
P21283,grp_0090,O15342
P21333,grp_1773,Q7Z6A9
P21675,grp_0916,Q9NRL2
P21817,grp_1233,P21817
P21912,grp_0050,O14521
P21941,grp_0851,Q6P9B9
P21953,grp_1234,P21953
P22059,grp_1235,P22059
P22087,grp_0047,O00566
P22105,grp_0521,Q9P218
P22301,grp_1642,Q13651
P22309,grp_0478,Q9Y2B1
P22415,grp_1236,P22415
P22695,grp_0066,O14949
P22830,grp_1237,P22830
P23229,grp_0488,Q9UQD0
P23246,grp_1238,P23246
P23396,grp_1475,P62495
P23415,grp_0166,O75311
P23416,grp_0276,P02708
P23458,grp_0146,O60674
P23511,grp_0111,O43257
P23921,grp_1241,P23921
P24043,grp_1242,P24043
P24311,grp_1243,P24311
P24385,grp_0146,O60674
P24394,grp_0333,P09693
P24539,grp_0198,O75947
P24588,grp_1245,P24588
P24821,grp_0727,Q15485
P24863,grp_0146,O60674
P24864,grp_0146,O60674
P24928,grp_0916,Q9NRL2
P24941,grp_0146,O60674
P25024,grp_1248,P25024
P25025,grp_0290,P04921
P25054,grp_1030,Q8WVM7
P25067,grp_1250,P25067
P25205,grp_1251,P25205
P25208,grp_0111,O43257
P25398,grp_1475,P62495
P25490,grp_1254,P25490
P25705,grp_0390,P15313
P25786,grp_0061,O14818
P25787,grp_0061,O14818
P25788,grp_0061,O14818
P25789,grp_0061,O14818
P25940,grp_0375,P13942
P26006,grp_1648,Q13797
P26010,grp_1255,P26010
P26012,grp_1256,P26012
P26196,grp_0115,O43432
P26368,grp_0965,Q8N684
P26373,grp_0143,O60524
P26678,grp_0121,O43524
P26715,grp_1258,P26715
P26717,grp_1259,P26717
P26951,grp_0291,P05000
P27449,grp_0090,O15342
P27540,grp_1261,P27540
P27635,grp_0143,O60524
P27658,grp_1250,P25067
P27694,grp_1408,P54132
P27918,grp_1262,P27918
P27930,grp_1263,P27930
P27986,grp_0331,P09619
P28062,grp_0061,O14818
P28065,grp_0061,O14818
P28066,grp_0061,O14818
P28070,grp_0061,O14818
P28072,grp_0061,O14818
P28074,grp_0061,O14818
P28328,grp_1265,P28328
P28331,grp_0024,O00217
P28340,grp_1296,P35249
P28347,grp_1268,P28347
P28358,grp_1269,P28358
P28370,grp_0726,Q15477
P28472,grp_0166,O75311
P28702,grp_0740,Q15788
P28749,grp_0309,P06400
P29083,grp_1272,P29084
P29084,grp_1272,P29084
P29374,grp_1273,P29374
P29400,grp_1274,P29400
P29459,grp_0291,P05000
P29460,grp_0291,P05000
P29466,grp_1422,P55210
P29597,grp_0146,O60674
P29803,grp_1234,P21953
P30049,grp_0198,O75947
P30050,grp_1475,P62495
P30101,grp_1277,P30101
P30153,grp_1203,Q9BPX3
P30260,grp_0111,O43257
P30279,grp_0001,A0M8Q6
P30281,grp_0146,O60674
P30532,grp_0276,P02708
P30613,grp_0380,P14618
P30876,grp_0098,O15514
P30926,grp_0276,P02708
P30988,grp_1280,P30988
P31040,grp_0050,O14521
P31153,grp_1528,Q00266
P31274,grp_1282,P31274
P31350,grp_1283,P31350
P31639,grp_0555,Q9UHI5
P31644,grp_0166,O75311
P31785,grp_0333,P09693
P31930,grp_0066,O14949
P32297,grp_1557,Q05901
P32322,grp_1284,P32322
P32780,grp_1285,P32780
P32881,grp_1286,P32881
P32927,grp_1287,P32927
P32969,grp_0143,O60524
P33240,grp_0184,O75533
P33402,grp_1288,P33402
P33991,grp_1251,P25205
P33992,grp_1251,P25205
P33993,grp_1251,P25205
P34897,grp_0085,O15269
P34903,grp_0276,P02708
P35222,grp_0001,A0M8Q6
P35225,grp_0612,Q9NPA0
P35226,grp_1291,P35226
P35227,grp_1292,P35227
P35228,grp_0102,O15553
P35232,grp_1294,P35232
P35244,grp_1295,P35244
P35249,grp_1297,P35251
P35250,grp_1297,P35251
P35251,grp_1297,P35251
P35268,grp_0143,O60524
P35269,grp_1298,P35269
P35442,grp_1299,P35442
P35443,grp_1371,P49746
P35498,grp_0488,Q9UQD0
P35499,grp_1245,P24588
P35606,grp_0937,Q9HAD4
P35611,grp_0543,Q9UEY8
P35612,grp_0543,Q9UEY8
