uniprot_id,source,structure_id,resolution,exp_method,chains,url,available,n_pdb_structures
A8MTZ0,alphafold,AF-A8MTZ0-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A8MTZ0-F1-model_v6.cif,True,0
E9PGT3,alphafold,AF-E9PGT3-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-E9PGT3-F1-model_v6.cif,True,0
O00116,alphafold,AF-O00116-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00116-F1-model_v6.cif,True,0
A9UF07,,,,,,,False,0
O00139,pdb,9kd4,1.64,X-ray,C/D=114-120,https://files.rcsb.org/download/9kd4.cif,True,6
O00148,pdb,8iju,1.82,X-ray,A=42-427,https://files.rcsb.org/download/8iju.cif,True,1
D9YZV4,alphafold,AF-D9YZV4-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-D9YZV4-F1-model_v6.cif,True,0
O00161,pdb,1nhl,2.3,X-ray,A=23-76,https://files.rcsb.org/download/1nhl.cif,True,2
O00151,pdb,2pkt,1.5,X-ray,A=1-86,https://files.rcsb.org/download/2pkt.cif,True,2
O00141,pdb,2r5t,1.9,X-ray,A=60-431,https://files.rcsb.org/download/2r5t.cif,True,4
O00159,pdb,4byf,2.74,X-ray,A/C=36-760,https://files.rcsb.org/download/4byf.cif,True,1
O00189,pdb,3l81,1.6,X-ray,A=160-453,https://files.rcsb.org/download/3l81.cif,True,2
O00187,pdb,3tvj,1.28,X-ray,"A=363-444, B=445-686",https://files.rcsb.org/download/3tvj.cif,True,10
O00170,pdb,4apo,1.9,X-ray,A/B=166-330,https://files.rcsb.org/download/4apo.cif,True,5
O00165,alphafold,AF-O00165-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00165-F1-model_v6.cif,True,0
O00203,alphafold,AF-O00203-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00203-F1-model_v6.cif,True,0
O00206,pdb,2z62,1.7,X-ray,A=27-228,https://files.rcsb.org/download/2z62.cif,True,15
O00212,pdb,2j1l,2.5,X-ray,A=7-197,https://files.rcsb.org/download/2j1l.cif,True,2
O00213,pdb,2ho2,1.33,X-ray,A=253-289,https://files.rcsb.org/download/2ho2.cif,True,11
O00219,alphafold,AF-O00219-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00219-F1-model_v6.cif,True,0
O00217,pdb,5xtb,3.4,EM,B=35-210,https://files.rcsb.org/download/5xtb.cif,True,5
O00231,pdb,8usb,2.73,EM,X=1-422,https://files.rcsb.org/download/8usb.cif,True,71
O00222,pdb,6bsz,2.65,X-ray,A/B=37-514,https://files.rcsb.org/download/6bsz.cif,True,3
O00221,alphafold,AF-O00221-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00221-F1-model_v6.cif,True,0
O00232,pdb,8usb,2.73,EM,W=1-456,https://files.rcsb.org/download/8usb.cif,True,71
O00255,pdb,6o5i,1.24,X-ray,"A=1-53, A=74-386, A=399-459, A=537-593",https://files.rcsb.org/download/6o5i.cif,True,60
O00233,alphafold,AF-O00233-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00233-F1-model_v6.cif,True,0
O00254,alphafold,AF-O00254-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00254-F1-model_v6.cif,True,0
O00264,pdb,4x8y,1.95,X-ray,A/B=72-195,https://files.rcsb.org/download/4x8y.cif,True,1
O00257,pdb,3i8z,1.51,X-ray,A=8-62,https://files.rcsb.org/download/3i8z.cif,True,3
O00267,pdb,5ohq,1.1,X-ray,A=979-1087,https://files.rcsb.org/download/5ohq.cif,True,43
O00270,alphafold,AF-O00270-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00270-F1-model_v6.cif,True,0
O00291,pdb,3i00,2.3,X-ray,A/B=361-480,https://files.rcsb.org/download/3i00.cif,True,3
O00268,pdb,2p6v,2.0,X-ray,A=575-688,https://files.rcsb.org/download/2p6v.cif,True,31
O00287,pdb,2kw3,,NMR,C=214-272,https://files.rcsb.org/download/2kw3.cif,True,1
O00300,pdb,3urf,2.7,X-ray,Z=22-186,https://files.rcsb.org/download/3urf.cif,True,1
O00303,pdb,8ppl,2.65,EM,I4=1-357,https://files.rcsb.org/download/8ppl.cif,True,21
O00329,pdb,6pyr,2.21,X-ray,A=17-1034,https://files.rcsb.org/download/6pyr.cif,True,18
O00311,pdb,6ya6,1.44,X-ray,"A=37-467, A=534-574",https://files.rcsb.org/download/6ya6.cif,True,9
O00410,pdb,6xte,2.27,X-ray,A=4-1097,https://files.rcsb.org/download/6xte.cif,True,3
O00327,pdb,8rw6,1.83,X-ray,B=337-449,https://files.rcsb.org/download/8rw6.cif,True,3
O00422,pdb,2hde,,NMR,A=6-149,https://files.rcsb.org/download/2hde.cif,True,1
O00444,pdb,3cok,2.25,X-ray,A/B=2-275,https://files.rcsb.org/download/3cok.cif,True,17
O00401,pdb,4cc2,1.55,X-ray,B/D=346-357,https://files.rcsb.org/download/4cc2.cif,True,6
O00408,pdb,5u00,1.41,X-ray,A/B/C/D=579-919,https://files.rcsb.org/download/5u00.cif,True,42
O00451,pdb,5mr5,2.0,X-ray,C/D=147-362,https://files.rcsb.org/download/5mr5.cif,True,5
O00470,pdb,5ego,2.54,X-ray,A=279-333,https://files.rcsb.org/download/5ego.cif,True,2
O00469,alphafold,AF-O00469-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00469-F1-model_v6.cif,True,0
O00429,pdb,3w6p,1.7,X-ray,"A/B=1-329, A/B=709-736",https://files.rcsb.org/download/3w6p.cif,True,9
O00472,pdb,5jw9,2.0,X-ray,B=519-640,https://files.rcsb.org/download/5jw9.cif,True,4
O00471,alphafold,AF-O00471-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00471-F1-model_v6.cif,True,0
O00443,pdb,6bty,1.68,X-ray,A/B=1559-1686,https://files.rcsb.org/download/6bty.cif,True,8
O00499,pdb,2fic,1.99,X-ray,A/B=1-272,https://files.rcsb.org/download/2fic.cif,True,7
O00487,pdb,8usb,2.73,EM,c=1-310,https://files.rcsb.org/download/8usb.cif,True,71
O00459,pdb,7rnu,1.45,X-ray,A/C/E/G=318-428,https://files.rcsb.org/download/7rnu.cif,True,8
O00505,alphafold,AF-O00505-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00505-F1-model_v6.cif,True,0
O00512,pdb,2vpb,1.59,X-ray,B=174-205,https://files.rcsb.org/download/2vpb.cif,True,8
O00482,pdb,6vc2,1.7,X-ray,A=299-541,https://files.rcsb.org/download/6vc2.cif,True,27
O00522,pdb,4hdo,1.67,X-ray,A=417-736,https://files.rcsb.org/download/4hdo.cif,True,14
O00483,alphafold,AF-O00483-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00483-F1-model_v6.cif,True,0
O00541,pdb,8fkv,2.47,EM,SM=1-588,https://files.rcsb.org/download/8fkv.cif,True,26
O00548,pdb,4xbm,3.2,X-ray,A/B=21-545,https://files.rcsb.org/download/4xbm.cif,True,1
O00566,pdb,7mqa,2.7,EM,NA=1-681,https://files.rcsb.org/download/7mqa.cif,True,3
O00571,pdb,3jrv,1.6,X-ray,C/D/E=71-90,https://files.rcsb.org/download/3jrv.cif,True,16
O00555,pdb,3bxk,2.55,X-ray,B/D=1954-1974,https://files.rcsb.org/download/3bxk.cif,True,4
O00567,pdb,7mqa,2.7,EM,SA=1-594,https://files.rcsb.org/download/7mqa.cif,True,3
O00592,alphafold,AF-O00592-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00592-F1-model_v6.cif,True,0
O00562,alphafold,AF-O00562-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00562-F1-model_v6.cif,True,0
O00560,pdb,1r6j,0.73,X-ray,A=197-273,https://files.rcsb.org/download/1r6j.cif,True,55
O00622,pdb,4d0z,2.2,X-ray,X/Y=24-29,https://files.rcsb.org/download/4d0z.cif,True,2
O00623,alphafold,AF-O00623-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00623-F1-model_v6.cif,True,0
O00629,pdb,6bw9,1.6,X-ray,A=64-521,https://files.rcsb.org/download/6bw9.cif,True,17
O00631,pdb,1jdm,,NMR,A=1-31,https://files.rcsb.org/download/1jdm.cif,True,1
O00764,pdb,8wr2,1.94,X-ray,A/B=1-312,https://files.rcsb.org/download/8wr2.cif,True,10
O00743,alphafold,AF-O00743-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00743-F1-model_v6.cif,True,0
O00750,alphafold,AF-O00750-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O00750-F1-model_v6.cif,True,0
O14519,pdb,2kw6,,NMR,A/B=61-115,https://files.rcsb.org/download/2kw6.cif,True,1
O14508,pdb,7zlm,1.79,X-ray,A/D/G/J=32-198,https://files.rcsb.org/download/7zlm.cif,True,13
O14490,pdb,6tnq,1.3,X-ray,B/D/F=430-437,https://files.rcsb.org/download/6tnq.cif,True,3
O14497,pdb,6lth,3.0,EM,L=1-2285,https://files.rcsb.org/download/6lth.cif,True,3
O14543,alphafold,AF-O14543-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14543-F1-model_v6.cif,True,0
O14495,alphafold,AF-O14495-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14495-F1-model_v6.cif,True,0
O14544,pdb,2vif,1.45,X-ray,A=361-499,https://files.rcsb.org/download/2vif.cif,True,1
O14595,pdb,2q5e,2.51,X-ray,A/B/C/D/E/F/G/H=87-271,https://files.rcsb.org/download/2q5e.cif,True,1
O14558,pdb,4jut,2.2,X-ray,A/B/C/D/E/F/G/H=57-160,https://files.rcsb.org/download/4jut.cif,True,8
O14561,pdb,6odd,2.0,X-ray,A=72-156,https://files.rcsb.org/download/6odd.cif,True,37
O14640,pdb,6lcb,1.4,X-ray,A=246-340,https://files.rcsb.org/download/6lcb.cif,True,3
O14576,alphafold,AF-O14576-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14576-F1-model_v6.cif,True,0
O14593,pdb,3v30,1.57,X-ray,A=90-260,https://files.rcsb.org/download/3v30.cif,True,3
O14654,alphafold,AF-O14654-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14654-F1-model_v6.cif,True,0
O14656,pdb,5j1s,1.4,X-ray,A=51-332,https://files.rcsb.org/download/5j1s.cif,True,3
O14610,alphafold,AF-O14610-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14610-F1-model_v6.cif,True,0
O14617,pdb,4afi,2.8,X-ray,A/B=680-729,https://files.rcsb.org/download/4afi.cif,True,5
O14641,pdb,3cbz,1.38,X-ray,A=264-354,https://files.rcsb.org/download/3cbz.cif,True,15
O14662,pdb,8qqf,2.19,X-ray,B/D=209-221,https://files.rcsb.org/download/8qqf.cif,True,1
O14657,alphafold,AF-O14657-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14657-F1-model_v6.cif,True,0
O14744,pdb,9mgq,1.85,X-ray,A=2-637,https://files.rcsb.org/download/9mgq.cif,True,83
O14686,pdb,3uvk,1.4,X-ray,B=5337-5347,https://files.rcsb.org/download/3uvk.cif,True,6
O14678,alphafold,AF-O14678-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14678-F1-model_v6.cif,True,0
O14745,pdb,4n6x,1.05,X-ray,A=11-94,https://files.rcsb.org/download/4n6x.cif,True,20
O14746,pdb,5meo,1.77,X-ray,C=540-548,https://files.rcsb.org/download/5meo.cif,True,20
O14713,pdb,4jif,1.7,X-ray,A=49-200,https://files.rcsb.org/download/4jif.cif,True,3
O14775,pdb,8sh9,2.7,EM,N=1-395,https://files.rcsb.org/download/8sh9.cif,True,18
O14763,pdb,3x3f,2.1,X-ray,A=54-184,https://files.rcsb.org/download/3x3f.cif,True,13
O14764,pdb,7qn5,2.5,EM,E=1-452,https://files.rcsb.org/download/7qn5.cif,True,7
O14727,pdb,1cy5,1.3,X-ray,A=1-97,https://files.rcsb.org/download/1cy5.cif,True,14
O14757,pdb,2yex,1.3,X-ray,A=1-276,https://files.rcsb.org/download/2yex.cif,True,160
O14776,pdb,3q1i,1.4,X-ray,E=99-107,https://files.rcsb.org/download/3q1i.cif,True,27
O14791,pdb,7lfa,1.86,X-ray,A/C=61-172,https://files.rcsb.org/download/7lfa.cif,True,5
O14777,pdb,2igp,1.8,X-ray,A=81-196,https://files.rcsb.org/download/2igp.cif,True,4
O14786,pdb,6fmc,0.9,X-ray,A=273-427,https://files.rcsb.org/download/6fmc.cif,True,25
O14787,alphafold,AF-O14787-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14787-F1-model_v6.cif,True,0
O14793,pdb,5f3b,1.76,X-ray,C/D=267-375,https://files.rcsb.org/download/5f3b.cif,True,5
O14807,pdb,7txh,1.95,X-ray,A/D=1-178,https://files.rcsb.org/download/7txh.cif,True,9
O14788,pdb,3urf,2.7,X-ray,A=162-317,https://files.rcsb.org/download/3urf.cif,True,2
O14810,pdb,3rk3,3.5,X-ray,E=26-83,https://files.rcsb.org/download/3rk3.cif,True,2
O14802,pdb,7ae1,2.8,EM,A=1-1390,https://files.rcsb.org/download/7ae1.cif,True,29
O14828,alphafold,AF-O14828-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14828-F1-model_v6.cif,True,0
O14817,alphafold,AF-O14817-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14817-F1-model_v6.cif,True,0
O14818,pdb,5le5,1.8,X-ray,C/Q=1-248,https://files.rcsb.org/download/5le5.cif,True,118
O14836,pdb,1xu1,1.9,X-ray,R/S/T=68-109,https://files.rcsb.org/download/1xu1.cif,True,2
O14893,pdb,5xjl,2.5,X-ray,2=1-280,https://files.rcsb.org/download/5xjl.cif,True,7
O14862,pdb,4o7q,1.82,X-ray,A=1-93,https://files.rcsb.org/download/4o7q.cif,True,6
O14867,pdb,9gra,1.47,X-ray,A/B=7-128,https://files.rcsb.org/download/9gra.cif,True,11
O14879,pdb,6c6k,2.54,X-ray,C/D=416-459,https://files.rcsb.org/download/6c6k.cif,True,1
O14925,alphafold,AF-O14925-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14925-F1-model_v6.cif,True,0
O14894,alphafold,AF-O14894-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14894-F1-model_v6.cif,True,0
O14908,alphafold,AF-O14908-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14908-F1-model_v6.cif,True,0
O14910,alphafold,AF-O14910-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14910-F1-model_v6.cif,True,0
O14920,pdb,3brv,2.2,X-ray,A/C=701-745,https://files.rcsb.org/download/3brv.cif,True,5
O14964,pdb,3obq,1.4,X-ray,B=346-354,https://files.rcsb.org/download/3obq.cif,True,5
O14929,pdb,6vo5,1.6,X-ray,A/B=20-341,https://files.rcsb.org/download/6vo5.cif,True,3
O14965,pdb,6vpm,1.58,X-ray,A/B=117-389,https://files.rcsb.org/download/6vpm.cif,True,188
O14931,pdb,3noi,1.84,X-ray,A/B=18-130,https://files.rcsb.org/download/3noi.cif,True,4
O14936,pdb,1kgd,1.31,X-ray,A=739-914,https://files.rcsb.org/download/1kgd.cif,True,16
O14977,alphafold,AF-O14977-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14977-F1-model_v6.cif,True,0
O14979,pdb,7zir,2.5,EM,A/B/C/D/E=121-420,https://files.rcsb.org/download/7zir.cif,True,1
O14944,pdb,5e8d,2.5,X-ray,A=38-108,https://files.rcsb.org/download/5e8d.cif,True,8
O14974,pdb,2kjy,,NMR,A=658-714,https://files.rcsb.org/download/2kjy.cif,True,2
O14983,alphafold,AF-O14983-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14983-F1-model_v6.cif,True,0
O14976,pdb,4y8d,2.1,X-ray,A/B=14-351,https://files.rcsb.org/download/4y8d.cif,True,7
O15027,alphafold,AF-O15027-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15027-F1-model_v6.cif,True,0
O14980,pdb,1w9c,2.3,X-ray,A/B=707-1027,https://files.rcsb.org/download/1w9c.cif,True,10
O14986,alphafold,AF-O14986-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O14986-F1-model_v6.cif,True,0
O15047,pdb,3s8s,1.3,X-ray,A=89-197,https://files.rcsb.org/download/3s8s.cif,True,4
O15078,alphafold,AF-O15078-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15078-F1-model_v6.cif,True,0
O15042,alphafold,AF-O15042-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15042-F1-model_v6.cif,True,0
O15054,pdb,2xxz,1.8,X-ray,A/B=1176-1505,https://files.rcsb.org/download/2xxz.cif,True,6
O15111,pdb,3brt,2.25,X-ray,A/C=732-745,https://files.rcsb.org/download/3brt.cif,True,5
O15066,pdb,3b6u,1.8,X-ray,A/B=6-359,https://files.rcsb.org/download/3b6u.cif,True,1
O15105,pdb,2djy,,NMR,B=203-217,https://files.rcsb.org/download/2djy.cif,True,7
O15120,alphafold,AF-O15120-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15120-F1-model_v6.cif,True,0
O15123,pdb,4jzc,1.9,X-ray,A=279-496,https://files.rcsb.org/download/4jzc.cif,True,6
O15117,pdb,2gtj,,NMR,A=486-579,https://files.rcsb.org/download/2gtj.cif,True,3
O15091,pdb,4xgl,1.8,X-ray,A=207-583,https://files.rcsb.org/download/4xgl.cif,True,5
O15084,alphafold,AF-O15084-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15084-F1-model_v6.cif,True,0
O15144,pdb,9i2b,3.0,EM,D/N=1-300,https://files.rcsb.org/download/9i2b.cif,True,5
O15126,alphafold,AF-O15126-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15126-F1-model_v6.cif,True,0
O15116,alphafold,AF-O15116-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15116-F1-model_v6.cif,True,0
O15146,alphafold,AF-O15146-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15146-F1-model_v6.cif,True,0
O15151,pdb,6q9y,1.2,X-ray,A/B=14-111,https://files.rcsb.org/download/6q9y.cif,True,39
O15127,alphafold,AF-O15127-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15127-F1-model_v6.cif,True,0
O15160,pdb,7ob9,2.7,EM,C=1-346,https://files.rcsb.org/download/7ob9.cif,True,36
O15164,pdb,4ybm,1.46,X-ray,A/B=824-1006,https://files.rcsb.org/download/4ybm.cif,True,21
O15143,pdb,9i2b,3.0,EM,C/M=1-372,https://files.rcsb.org/download/9i2b.cif,True,4
O15145,pdb,9i2b,3.0,EM,E/O=1-178,https://files.rcsb.org/download/9i2b.cif,True,5
O15169,pdb,1dk8,1.57,X-ray,A=74-220,https://files.rcsb.org/download/1dk8.cif,True,20
O15228,alphafold,AF-O15228-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15228-F1-model_v6.cif,True,0
O15182,alphafold,AF-O15182-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15182-F1-model_v6.cif,True,0
O15194,pdb,2hhl,2.1,X-ray,A/B/C/D=82-265,https://files.rcsb.org/download/2hhl.cif,True,1
O15235,pdb,7qi4,2.21,EM,AJ=1-138,https://files.rcsb.org/download/7qi4.cif,True,57
O15198,pdb,6fzt,2.46,X-ray,A/B=1-140,https://files.rcsb.org/download/6fzt.cif,True,1
O15230,pdb,5xau,1.8,X-ray,A/D=2655-3327,https://files.rcsb.org/download/5xau.cif,True,2
O15212,alphafold,AF-O15212-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15212-F1-model_v6.cif,True,0
O15234,pdb,2j0s,2.21,X-ray,T=137-286,https://files.rcsb.org/download/2j0s.cif,True,13
O15260,alphafold,AF-O15260-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15260-F1-model_v6.cif,True,0
O15269,pdb,7k0k,2.6,EM,A=1-473,https://files.rcsb.org/download/7k0k.cif,True,17
O15265,pdb,7ktr,2.93,EM,N=1-892,https://files.rcsb.org/download/7ktr.cif,True,4
O15273,pdb,1ya5,2.44,X-ray,T=1-90,https://files.rcsb.org/download/1ya5.cif,True,2
O15239,pdb,9cwt,3.44,EM,S=1-70,https://files.rcsb.org/download/9cwt.cif,True,5
O15294,pdb,5nps,1.68,X-ray,A=324-1041,https://files.rcsb.org/download/5nps.cif,True,44
O15259,pdb,6o1q,,NMR,A=1-115,https://files.rcsb.org/download/6o1q.cif,True,2
O15270,pdb,7k0k,2.6,EM,B=1-562,https://files.rcsb.org/download/7k0k.cif,True,17
O15304,alphafold,AF-O15304-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15304-F1-model_v6.cif,True,0
O15287,pdb,7kzp,3.1,EM,G/H=1-622,https://files.rcsb.org/download/7kzp.cif,True,6
O15315,pdb,8ouz,2.2,EM,A=1-345,https://files.rcsb.org/download/8ouz.cif,True,4
O15297,pdb,8t2j,1.8,X-ray,A=1-403,https://files.rcsb.org/download/8t2j.cif,True,1
O15350,pdb,5hob,1.22,X-ray,A/B/C/D/E/F/G/H=351-398,https://files.rcsb.org/download/5hob.cif,True,28
O15318,pdb,7ae1,2.8,EM,Q=1-223,https://files.rcsb.org/download/7ae1.cif,True,28
O15335,pdb,5lfn,2.1,X-ray,A/B/C/D=23-359,https://files.rcsb.org/download/5lfn.cif,True,2
O15344,pdb,7qry,2.07,X-ray,A/B/C/D=482-667,https://files.rcsb.org/download/7qry.cif,True,5
O15354,alphafold,AF-O15354-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15354-F1-model_v6.cif,True,0
O15357,pdb,5okp,1.85,X-ray,A=420-878,https://files.rcsb.org/download/5okp.cif,True,11
O15371,pdb,8ppl,2.65,EM,Ix=1-548,https://files.rcsb.org/download/8ppl.cif,True,20
O15360,pdb,7kzp,3.1,EM,A/S=1-1455,https://files.rcsb.org/download/7kzp.cif,True,6
O15355,alphafold,AF-O15355-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15355-F1-model_v6.cif,True,0
O15372,pdb,8ppl,2.65,EM,I8=1-352,https://files.rcsb.org/download/8ppl.cif,True,21
O15393,pdb,8v04,1.58,X-ray,"A=148-255, B=256-492",https://files.rcsb.org/download/8v04.cif,True,30
O15379,pdb,4a69,2.06,X-ray,A/B=1-376,https://files.rcsb.org/download/4a69.cif,True,1
O15392,pdb,2qfa,1.4,X-ray,A=1-142,https://files.rcsb.org/download/2qfa.cif,True,30
O15455,pdb,1ziw,2.1,X-ray,A=27-700,https://files.rcsb.org/download/1ziw.cif,True,20
O15399,pdb,9d37,3.34,EM,D=28-880,https://files.rcsb.org/download/9d37.cif,True,13
O15397,alphafold,AF-O15397-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-O15397-F1-model_v6.cif,True,0
O15503,pdb,4j81,1.74,X-ray,C/D=273-277,https://files.rcsb.org/download/4j81.cif,True,1
